datetime,date,time,sent,subject,url,content
2024-02-05T14:47:00Z,2024-02-05,14:47,77618,Campus Network Issues Resolved,https://massmail.illinois.edu/massmail/788402750.html,"Campus Network Issues Resolved
                February 5, 2024 2:47 PM
			
        On Sunday morning, February 4, Technology Services performed maintenance on the campus network to resolve the issues experienced at the beginning of last week. The maintenance was successful, and the issues were resolved. A configuration bug not previously seen by the vendor resulted in our working on this continuously over the last week, and thanks to the dedication of our networking team, we were able to avoid ongoing network disruption. Thank you for your patience while we worked through this.  You can always see the status of IT services at the IT Services Status at Illinois.Mairéad Martin (she/her/hers)Chief Information Officer"
2024-02-01T10:31:00Z,2024-02-01,10:31,21120,Our Admissions Firewall,https://massmail.illinois.edu/massmail/293056315.html,"Our Admissions Firewall
                February 1, 2024 10:31 AM
			
        Dear Colleagues,As we finalize our review of applications for undergraduate admission for the Fall 2024 semester, in cooperation with the Senate Committee on Admissions, we would like to remind you of the university policies regarding admissions confidentiality and third-party inquiries. Admissions officers may discuss a student’s application only with the applicant, the applicant’s parents/legal guardian, spouse or school-appointed counselor. Other individuals, including university employees without admissions responsibilities, are not permitted to inquire about a student’s application with a university admissions officer, and admissions officers are prohibited from sharing information with third parties regarding a student’s application.A university admissions officer is considered anyone with admissions responsibility. This includes not only admissions staff in central admissions units such as the Office of Undergraduate Admissions and the Graduate College, but also faculty and staff within academic college and departmental offices responsible for reviewing and making decision recommendations for applicants. A firewall has been placed around faculty, administrators and admissions staff with admissions responsibility so that those without admissions responsibility may not influence decisions.Unsolicited letters of recommendation or emails of support or appeal are not accepted or considered in our processes. Please review this Summary of University of Illinois Admissions Firewall Practices for a complete list of inquiries that are and are not permitted, as well as examples of scenarios and appropriate responses.At the graduate level, it is important to note that those with admissions responsibility are allowed to accept information from an applicant’s recommenders in the form of formal letters, emails and phone communications; however, they may not discuss the applicant’s admission status with the recommender. If they are contacted about an applicant’s admission status by a recommender, they are to notify the recommender that while they may accept supporting information for the applicant’s file, they may not discuss the applicant’s admission status without expressed written permission from the applicant. Also at the graduate level, the Graduate College discourages any discussions with an applicant’s parent and/or spouse regarding the applicant’s status without the written permission from the applicant.Inappropriate activities or attempts to circumvent these policies should be reported to the Ethics Officer or reported anonymously using the anonymous report feature of the Admissions Inquiry Log.Thank you for helping to protect the integrity of our admissions process.Sincerely,Doug BurgettInterim Director of Undergraduate AdmissionsDirector of Marketing and CommunicationsElizabeth SparkAssistant Dean for Admissions, Registration, and Enrollment ServicesGraduate College"
2024-02-01T05:01:00Z,2024-02-01,5:1,55123,Campus Student Elections- Application Deadline Extended,https://massmail.illinois.edu/massmail/550438145.html,"Campus Student Elections- Application Deadline Extended
                February 1, 2024 5:01 AM
			
        MASSMAIL - Campus Student Elections - Application Deadline Extended The Campus Student Election Commission (CSEC) has extended the deadline to submit the Candidate Application to run in the Spring 2024 Campus Student Elections. Applications are now due Monday, February 5, at 11:59 p.m.Candidate Applications, referendum submissions, and election information for the Spring 2024 elections are available on our website, https://studentelections.illinois.edu Students can apply to run for any of the following positions:Illinois Student Council Student Body President & Vice President (as a ticket)Student RepresentativesThe University Senate:Student SenatorStudent Organization Resource Fee (SORF) Board:MemberStudent TrusteeTo complete the candidate application, visit https://studentelections.illinois.edu and complete your submission by February 5th at 11:59 p.m. Have questions about the process? The CSEC will be hosting regular office hours beginning this Monday, January 22 through March 22, 2024. Office hours can be attended in-person or virtually. Join us at CSEC Virtual Office Hours or by stopping by room 220 on the second floor of the University YMCA (1001 S. Wright Street). Cancellations will be noted on the CSEC Calendar. Office hours will be held on the following days:Monday: 2:00-5:00 pmWednesday: 2:00-5:00 pmThursday: 9:00 am-12:00 pmIf these times do not work for your schedule, email us anytime at studentelections@illinois.edu to set up a meeting.Finally, if you are not interested in running for a position but want to be a part of the process, the CSEC is currently accepting membership applications at https://studentelections.illinois.edu/about. All are encouraged to apply! In addition, if you are interested in other un-elected positions, check out the University Senate Committees and apply today: https://www.senate.illinois.edu. As always, If you have any questions, please contact the CSEC at studentelections@illinois.edu or stop by our regular office hours.With Illini Pride,The Campus Student Election Commission"
2024-01-31T10:47:00Z,2024-01-31,10:47,77596,Illinois Alcohol and Other Drugs (AOD) Prevention Program,https://massmail.illinois.edu/massmail/166496840.html,"Illinois Alcohol and Other Drugs (AOD) Prevention Program
                January 31, 2024 10:47 AM
			
        Dear Students and Employees,The University of Illinois Urbana-Champaign has a long-standing commitment to the support and maintenance of a drug-free environment for our students and employees. The Drug Free Workplace Act and the Drug-Free Schools and Communities Act require the university to distribute to all employees and students information about our Alcohol and Drug Prevention and Response Program. Detailed information about this program can be found here:http://odos.illinois.edu/alcohol-and-drug-program/The program webpage describes the university’s standard of conduct prohibiting drug and alcohol abuse. It states that the university will impose disciplinary sanctions against those who violate that standard and identifies relevant federal and state criminal penalties. Most importantly, the website explains the health risks associated with drug and alcohol abuse and identifies university and community resources to help with drug- or alcohol-related problems.Under the federal Controlled Substances Act, cannabis (marijuana) is classified as a Schedule 1 controlled substance and is illegal. Consistent with that federal law, the university prohibits the unlawful or unauthorized possession, use, distribution, dispensation, sale, or manufacture of cannabis on university property or as part of any university activity. The Illinois Cannabis Regulation and Tax Act, which took effect January 1, 2020, legalizes certain activities related to cannabis in Illinois but does not affect federal law or the university’s cannabis prohibition.The university’s cannabis prohibition applies to both recreational and medical use. That means having a medical cannabis registry identification card under the Illinois Compassionate Use of Medical Cannabis Program Act does not allow you to use or possess cannabis on university property (including outdoor spaces, classrooms, and residential halls) or as part of any university activity.The university’s Alcohol and Drug Prevention and Response Program represents our sustained commitment to creating a healthy learning and work environment. To ensure the success of this mission and to provide this important information to every student who is enrolled for at least one credit and to all new employees, this notice is distributed every semester to all Illinois students and employees. Please familiarize yourself with the policies and resources on the Alcohol and Drug Prevention and Response Program website.Students should contact the Office of the Dean of Students at (217) 333-0050 with any questions. University employees should contact Illinois Human Resources at (217) 333-2137.Sincerely,Danita M. Brown YoungVice Chancellor for Student Affairs"
2024-01-30T07:19:00Z,2024-01-30,7:19,85455,Campus network disruptions update,https://massmail.illinois.edu/massmail/513867563.html,"Campus network disruptions update
                January 30, 2024 7:19 AM
			
        To the Campus Community,As you may be aware, the campus network began experiencing disruptions late yesterday afternoon. The Technology Services Networking group has been onsite working on a resolution overnight. They have made configuration changes recommended by the vendor of the product, and the network has remained stable since about 5:20 this morning. The vendor will continue to analyze what caused the disruptions and will assist us in preventing or minimizing any impact on the campus of similar issues if they happen again. We are continuing to monitor for any signs of disruptions and will continue to offer updates at status.illinois.edu.Thank you for your patience as we work to resolve this issue.Mairead MartinChief Information Officer"
2024-01-28T05:02:00Z,2024-01-28,5:2,62962,Illinois Student Council Spring Updates & Opportunities,https://massmail.illinois.edu/massmail/1581118076.html,"Illinois Student Council Spring Updates & Opportunities
                January 28, 2024 5:02 AM
			
        Illinois Student Council (ISC) serves as the University's official form of student government, advocating for the betterment of our campus community with integrity and transparency. We have several updates and opportunities ahead for the Spring 2024 Semester!Run for ISC | 2024-2025 ISC Student ElectionsConsider running to be our next Student Body President & Vice President or a college/school Student Representative! Take the next step to advocate for students through Advocacy, Leadership, Networking, and Personal & Professional Development. The Student Body President & Vice President are the primary representatives for all students at Illinois. Alongside ISC Student Congress, they advocate for bettering the overall student experience in collaboration with campus administration.The ISC Congress consists of forty-four (44) Student Representatives elected by college/school. Student Reps advocate and deliberate for developing solutions to student concerns and desires.Applications to run for Student Body President & Vice President and Student Representative close on February 1st. Click here to submit a Candidate Application or to learn more about campus student elections.Interested in learning more about the ISC experience? Stop by our suite in the Illini Union (280) to chat with one of our current members. Click here to access our office hours.ISC Teaching Excellence Awards – Nominate a Faculty Member Today | Due February 17thThe Illinois Student Council's Teaching Excellence Awards are an opportunity for students to recognize and thank excellent instructors at the University of Illinois for their hard work and commitment to the mission of the University. Any instructor may be nominated, from TA to Full Professor. Recipients will be selected and contacted in late March. Nominators and nominees will be invited to attend the Provost's Celebration of Teaching Excellence in April.Nominate a faculty member by clicking here. The deadline to submit a nomination is February 17th.Join us for U of I System Day in the Illinois Capitol | April 16thDay in the Illinois Capitol is an excellent opportunity for any student to engage in advocacy and meet with state legislators and staff on state priorities. Hosted by the University of Illinois System and coordinated by ISC, you'll learn about lobbying and policymaking.Interested in attending? Complete the application by clicking here. ISC will prepare you for the trip, and all expenses are covered!Sustainability Gen Ed Proposal | Share Your VoiceIn collaboration with the Student Sustainability Committee (SSC), ISC is interested in learning about the student body's interest in adding a sustainable general education option to the undergraduate curriculum. Implementing a sustainable gen ed option is being explored, so gathering student voices will help inform the process. The new gen ed will not add extra required credits to graduate; instead, it could be substituted for another gen ed requirement.Contribute to this conversation! Click here to access the survey.Visit ISC Members During Office HoursISC Members have open office hours for this semester. Visit us for an opportunity to connect with your student representatives. We are here to listen to any concerns or questions and serve as a resource!Office hours are hosted in the Illinois Student Council Suite in the Illini Union, Suite 280 (south tower, enter through the Quad entrance). Click here to see our office hours.2023-2024 Current Leadership Opportunities for Upperclassmen (sophomores and older) & Graduate StudentsAt Large Committee MembersAt-Large Committee Members serve on one of the six Congress committees representing the student body's views. Each committee consists of two (2) At-Large Members.Click here to access the At-Large Committee Member application!Student RepresentativesStudent Representatives are selected by their respective colleges to represent students' interests and advocate for the betterment of the campus community. To learn more about Student Representatives, click here. Click here for information on how to apply for a Student Representative vacancy!In closing, as Student Body President, I hope you consider joining ISC in some capacity. We are here to make a difference on our campus, and if you want to be a part of that difference, I hope I see your name on one of our applications soon. Please do not hesitate to reach out if you have any questions at ISC-President@illinois.edu. Also, to learn more about Illinois Student Council, visit our website by clicking here. Have a lovely spring semester!Illinois Proud,Abby McGuire, Student Body President"
2024-01-24T05:01:00Z,2024-01-24,5:1,63450,Spring 2024 Campus Student Elections,https://massmail.illinois.edu/massmail/1041915066.html,"Spring 2024 Campus Student Elections
                January 24, 2024 5:01 AM
			
        Fellow Students,The Campus Student Election Commission (CSEC) is pleased to announce the start of the Spring 2024 Student Election Season! Voting will take place online beginning at 12:00 p.m. on Tuesday, February 27, through 11:59 a.m., Thursday, February 29, 2024.Candidate applications, referendum submissions, the updated Student Election Code, and the Election timeline for the Spring 2024 election are now available on the CSEC’s website at https://studentelections.illinois.edu. Candidate applications must be submitted no later than Thursday, February 1, 2024, at 5:00 p.m. Students can apply to run for any of the following positions:Illinois Student Council (ISC):Student Body President & Vice President (as a ticket)Student RepresentativesThe University Senate:Student SenatorStudent Organization Resource Fee (SORF) Board:MemberStudent TrusteeTo complete the candidate application for any of these positions or learn more about the election process, visit https://studentelections.illinois.edu.  If you are interested in running but not quite sure where to start, be sure to attend one of our info sessions this week. Sessions will be held each day from Tuesday, January 23, through Thursday, January 25, 2024, at 6:00 p.m virtually via Zoom. Register ahead of time by visiting: https://go.illinois.edu/CSECInfoSessions. After registering, you will receive a confirmation email containing information about joining the meeting. While attendance is not required, the CSEC encourages anyone interested in the election process to register as we will discuss important aspects of the process and campaign guidelines.Can’t make the info sessions but have questions about the process? Already applied and need some help? No problem! The CSEC will be hosting regular office hours beginning this Monday, January 22 through March 22, 2024. Office hours can be attended in-person or virtually. Join us at https://go.illinois.edu/CSECOfficeHours2024 or by stopping by room 220 on the second floor of the University YMCA (1001 S. Wright Street).Cancellations will be noted on the CSEC Calendar. Office hours will be held on the following days:Monday: 2:00-5:00 pmWednesday: 2:00-5:00 pmThursday: 9:00 am-12:00 pmIf these times do not work for your schedule, email us anytime at studentelections@illinois.edu to set up a meeting.Finally, if you are not interested in running for a position but want to be a part of the process, the CSEC is currently accepting membership applications at https://studentelections.illinois.edu/about. All are encouraged to apply! In addition, if you are interested in other un-elected positions, check out the University Senate Committees and apply today: https://www.senate.illinois.edu. As always, If you have any questions, please contact the CSEC at studentelections@illinois.edu or stop by our regular office hours.With Illini Pride,The Campus Student Election Commission"
2024-01-23T13:31:00Z,2024-01-23,13:31,62927,Student Consumer Information Notification,https://massmail.illinois.edu/massmail/247274167.html,"Student Consumer Information Notification
                January 23, 2024 1:31 PM
			
        Dear Students,The campus is required by federal regulations to notify enrolled students annually of the availability of student consumer information regarding programs and services at the University of Illinois Urbana-Champaign. This information is conveniently made available to you on the student Consumer Information website.When you visit the student Consumer Information website, you will find information and disclosures in a variety of areas under the following headings: disclosure requirements relating to education loans, financial aid, general institutional information (including privacy of student records/FERPA), health and safety, the University’s intercollegiate athletic program, the student complaint process, student outcomes, the teacher preparation program, and voter registration. A paper copy of the information on the website can be made available on request.If you have questions after reviewing the information, you may contact the following campus offices that correspond to the sections on the student Consumer Information website:Disclosure Requirements Relating to Education Loans – Office of Student Financial AidFinancial Aid – Office of Student Financial AidGeneral Institutional Information – Office of the Provost and for FERPA – Office of the Registrar Health and Safety – McKinley Health Center and Division of Public SafetyIntercollegiate Athletic Program – Division of Intercollegiate Athletics Student Complaint Process – Office of Student Financial AidStudent Outcomes, including graduation/completion rates – Office of the ProvostTeacher Preparation Programs – Council on Teacher EducationVoter Registration – Student Affairs Office of Civic LifeI hope you will review these materials and find them to be helpful to learn more about the university and the campus community. John ColemanVice Chancellor for Academic Affairs and Provost"
2024-01-22T16:02:00Z,2024-01-22,16:2,85452,Class and operational changes for tonight and tomorrow,https://massmail.illinois.edu/massmail/915270630.html,"Class and operational changes for tonight and tomorrow
                January 22, 2024 4:02 PM
			
        Dear Faculty, Staff and Students,With a wintery mix of sleet, freezing rain and ice accumulation expected to worsen tonight and continue into the early morning hours, we are recommending these changes in class schedules and activities for tonight and tomorrow morning. For Tonight (Monday):We recommend instructors move in-person classes and activities scheduled for this evening to a remote learning format if possible. We recommend cancelling/rescheduling any non-academic activities tonight to minimize the number of people out in potentially dangerous conditions.All University Libraries will close at 5 p.m. tonight and will reopen at noon on Tuesday. For Tuesday:We recommend instructors move in-person classes to a remote-learning format until noon Tuesday if possible. We recommend cancelling/rescheduling any other non-academic activities until after noon on Tuesday. This delayed start will allow university and city crews sufficient time to clear streets, sidewalks and parking lots of any remaining ice from the overnight accumulation.Instructors should inform their students of any change in class format for tonight or tomorrow as quickly as possible. Students should contact your instructors or your department if you are unsure of your class status tonight through noon tomorrow.While university facilities are expected to maintain their regular operating hours tonight and tomorrow, that could change if conditions deteriorate. You should verify facilities are open as usual before you attempt to visit.As a reminder, the residential and research aspects of our operations make closing impossible, so staff members are expected to fulfill their regular work responsibilities. Extreme weather does not change the need for an individual employee to notify their supervisor of the absence. Normal leave reporting processes and requirements apply to leave used to cover weather-related absences. For additional information, please refer to guidelines from Illinois Human Resources.  Our Facilities & Services crews are working through the night to keep campus streets and walkways clear of ice, but whether on foot or driving, you should proceed with caution on and off campus until tomorrow’s rain and higher temperatures clear the ice. We encourage you to refer to current information from the National Weather Service website as you engage in your planned activities tonight and tomorrow. And students who need warm weather essentials can contact the Student Assistance Center for Basic Needs at (217) 333-0050 or basicneeds@illinois.edu.We will continue to monitor the weather throughout the night, and we will be prepared to reevaluate our operational plans if conditions are significantly worse than predicted. Please check your university email for any updates.Sincerely,  Robert J. Jones Chancellor John ColemanProvost"
2024-01-15T10:02:00Z,2024-01-15,10:2,88744,Taking inspiration from Dr. Martin Luther King Jr.,https://massmail.illinois.edu/massmail/496877914.html,"Taking inspiration from Dr. Martin Luther King Jr.
                January 15, 2024 10:02 AM
			
        Dear Students, Staff and Faculty,Welcome back and I hope you had a safe and restful break. We open our new semester on the same day that we celebrate the life and contributions of Dr. Martin Luther King Jr. I hope you will be able to attend one or more of the services throughout the area.I also hope the spirit of hope, peace, justice and optimism so many of us will commemorate today will serve as a point of inspiration for how we choose to speak and act toward one another this semester.We are just weeks beyond the 59-year anniversary of Dr. King’s acceptance of his 1964 Nobel Peace Prize. It was against the backdrop of a devastating international conflict that was already dividing the world. Racial segregation and discrimination continued to deprive millions of rights and opportunities here at home. Public demonstrations brought physical and philosophical conflict. Violence, hatred and anger seemed to be the rule of the day.In that moment he accepted this award for peace in a world that seemed to have none of that commodity, Dr. King chose to speak of optimism. There are three phrases in particular that resonate with me as we seem surrounded by many of the same challenges today. I know these sentences are taken out of context from the speech and I do not imply that my use of them is how Dr. King intended them in his own delivery. But I do wish they might inspire us all to find our way more often to a path of empathy, tolerance and personal respect even as we navigate intense disagreement.   “I accept this award today with an abiding faith in America and an audacious faith in the future of mankind.”“I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality.”“I have the audacity to believe that peoples everywhere can have three meals a day for their bodies, education and culture for their minds, and dignity, equality and freedom for their spirits.”I quote Dr. King’s words of optimism today because I recognize the reality of the weeks and months ahead. There will certainly be intense disagreements, debates, uncomfortable discussions and public demonstrations around any number of significant issues that are extremely important to different members of our community. We will not all be on the same side of any given issue, and we may very well personally dislike some of those who take an opposing view. But this university must remain a place where free speech, free expression and academic freedom allow for the open exploration of ideas and for the questioning of opposing opinions and differing perspectives. In fact, free speech and academic freedom are most critical and most essential to a university like ours when the topics of discussion truly impact the way members of our community live, work and engage.  I want to also be very clear that expressions of hate, intimidation, calls for violence against others or actions that threaten the health and safety of members of our community are antithetical to our university values, and those who act in ways contrary to these will be held accountable. The safety of ALL members of our university community is always our priority.Welcome back to Illinois. I wish you a safe and productive new semester, and I hope you will join me in sharing Dr. King’s audacity of belief that we can find a welcome light of dignity, equality and freedom of spirit together.Sincerely, Robert J. JonesChancellor"
